Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-04-03,1,0,0,Unknown,Gilgit-Baltistan,Astore
2020-04-03,6,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-04-03,40,3,0,Local - Social Contact,Sindh,Karachi
2020-04-03,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-04-03,6,0,0,Unknown,Baluchistan,Quetta
2020-04-03,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
2020-04-03,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
2020-04-03,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
2020-04-03,8,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
2020-04-03,2,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
2020-04-03,10,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
2020-04-03,11,0,0,Local - Social Contact,Punjab,Lahore
2020-04-03,5,0,0,Local - Social Contact,Punjab,Gujrat
2020-04-03,1,0,0,Local - Social Contact,Punjab,Jehlum
2020-04-03,1,0,0,Local - Social Contact,Punjab,Gujranwala
2020-04-03,2,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-04-03,1,0,0,Local - Social Contact,Punjab,Chiniot
2020-04-03,2,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
2020-04-03,1,0,0,Local - Social Contact,Punjab,Sialkot
2020-04-03,11,0,0,Local - Social Contact,Punjab,Vehari
2020-04-03,1,0,0,Local - Social Contact,Punjab,Bahawalpur
2020-04-03,1,0,0,Local - Social Contact,Punjab,Sheikhupura
2020-04-03,12,0,0,Tableeghi Jamaat,Punjab,Dera Ghazi Khan
2020-04-03,3,0,0,Tableeghi Jamaat,Punjab,Multan
2020-04-03,100,0,0,Tableeghi Jamaat,Punjab,Raiwind
2020-04-04,7,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
2020-04-04,6,3,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-04-04,30,1,0,Local - Social Contact,Punjab,Lahore
2020-04-04,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
2020-04-04,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
2020-04-04,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-04-04,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
